日期,战区,渠道,品类,客户,签收额,台数
2024-01-15,北区,电商,主力系列,北区经销商03,25518.34,8
2024-01-15,北区,电商,主力系列,北区经销商04,20414.67,6
2024-01-15,北区,电商,主力系列,北区经销商05,15311.0,5
2024-01-15,北区,电商,主力系列,北区经销商06,12759.17,4
2024-01-15,北区,电商,主力系列,北区经销商07,10207.34,3
2024-01-15,北区,电商,主力系列,北区经销商08,7655.5,2
2024-01-15,北区,传统,主力系列,北区经销商01,139986.32,44
2024-01-15,北区,传统,主力系列,北区经销商02,46662.11,15
2024-01-15,北区,传统,主力系列,北区经销商03,29163.82,9
2024-01-15,北区,传统,主力系列,北区经销商04,23331.05,7
2024-01-15,北区,传统,主力系列,北区经销商05,17498.29,6
2024-01-15,北区,传统,主力系列,北区经销商06,14581.91,5
2024-01-15,北区,传统,主力系列,北区经销商07,11665.53,4
2024-01-15,北区,传统,主力系列,北区经销商08,8749.15,3
2024-01-15,北区,KA,入门系列,北区经销商01,109364.32,58
2024-01-15,北区,KA,入门系列,北区经销商02,36454.77,19
2024-01-15,北区,KA,入门系列,北区经销商03,22784.23,12
2024-01-15,北区,KA,入门系列,北区经销商04,18227.39,10
2024-01-15,北区,KA,入门系列,北区经销商05,13670.54,7
2024-01-15,北区,KA,入门系列,北区经销商06,11392.12,6
2024-01-15,北区,KA,入门系列,北区经销商07,9113.69,5
2024-01-15,北区,KA,入门系列,北区经销商08,6835.27,4
2024-01-15,北区,电商,入门系列,北区经销商01,76555.02,41
2024-01-15,北区,电商,入门系列,北区经销商02,25518.34,14
2024-01-15,北区,电商,入门系列,北区经销商03,15948.96,8
2024-01-15,北区,电商,入门系列,北区经销商04,12759.17,7
2024-01-15,北区,电商,入门系列,北区经销商05,9569.38,5
2024-01-15,北区,电商,入门系列,北区经销商06,7974.48,4
2024-01-15,北区,电商,入门系列,北区经销商07,6379.59,3
2024-01-15,北区,电商,入门系列,北区经销商08,4784.69,3
2024-01-15,北区,传统,入门系列,北区经销商01,87491.45,47
2024-01-15,北区,传统,入门系列,北区经销商02,29163.82,16
2024-01-15,北区,传统,入门系列,北区经销商03,18227.39,10
2024-01-15,北区,传统,入门系列,北区经销商04,14581.91,8
2024-01-15,北区,传统,入门系列,北区经销商05,10936.43,6
2024-01-15,北区,传统,入门系列,北区经销商06,9113.69,5
2024-01-15,北区,传统,入门系列,北区经销商07,7290.95,4
2024-01-15,北区,传统,入门系列,北区经销商08,5468.22,3
2024-01-15,西区,KA,旗舰系列,西区经销商01,64160.4,13
2024-01-15,西区,KA,旗舰系列,西区经销商02,21386.8,4
2024-01-15,西区,KA,旗舰系列,西区经销商03,13366.75,3
2024-01-15,西区,KA,旗舰系列,西区经销商04,10693.4,2
2024-01-15,西区,KA,旗舰系列,西区经销商05,8020.05,2
2024-01-15,西区,KA,旗舰系列,西区经销商06,6683.37,1
2024-01-15,西区,KA,旗舰系列,西区经销商07,5346.7,1
2024-01-15,西区,KA,旗舰系列,西区经销商08,4010.02,1
2024-01-15,西区,电商,旗舰系列,西区经销商01,44912.28,9
2024-01-15,西区,电商,旗舰系列,西区经销商02,14970.76,3
2024-01-15,西区,电商,旗舰系列,西区经销商03,9356.72,2
2024-01-15,西区,电商,旗舰系列,西区经销商04,7485.38,1
2024-01-15,西区,电商,旗舰系列,西区经销商05,5614.03,1
2024-01-15,西区,电商,旗舰系列,西区经销商06,4678.36,1
2024-01-15,西区,电商,旗舰系列,西区经销商07,3742.69,1
2024-01-15,西区,电商,旗舰系列,西区经销商08,2807.02,1
2024-01-15,西区,传统,旗舰系列,西区经销商01,51328.32,10
2024-01-15,西区,传统,旗舰系列,西区经销商02,17109.44,3
2024-01-15,西区,传统,旗舰系列,西区经销商03,10693.4,2
2024-01-15,西区,传统,旗舰系列,西区经销商04,8554.72,2
2024-01-15,西区,传统,旗舰系列,西区经销商05,6416.04,1
2024-01-15,西区,传统,旗舰系列,西区经销商06,5346.7,1
2024-01-15,西区,传统,旗舰系列,西区经销商07,4277.36,1
2024-01-15,西区,传统,旗舰系列,西区经销商08,3208.02,1
2024-01-15,西区,KA,主力系列,西区经销商01,139986.32,44
2024-01-15,西区,KA,主力系列,西区经销商02,46662.11,15
2024-01-15,西区,KA,主力系列,西区经销商03,29163.82,9
2024-01-15,西区,KA,主力系列,西区经销商04,23331.05,7
2024-01-15,西区,KA,主力系列,西区经销商05,17498.29,6
2024-01-15,西区,KA,主力系列,西区经销商06,14581.91,5
2024-01-15,西区,KA,主力系列,西区经销商07,11665.53,4
2024-01-15,西区,KA,主力系列,西区经销商08,8749.15,3
2024-01-15,西区,电商,主力系列,西区经销商01,97990.43,31
2024-01-15,西区,电商,主力系列,西区经销商02,32663.48,10
2024-01-15,西区,电商,主力系列,西区经销商03,20414.67,6
2024-01-15,西区,电商,主力系列,西区经销商04,16331.74,5
2024-01-15,西区,电商,主力系列,西区经销商05,12248.8,4
2024-01-15,西区,电商,主力系列,西区经销商06,10207.34,3
2024-01-15,西区,电商,主力系列,西区经销商07,8165.87,3
2024-01-15,西区,电商,主力系列,西区经销商08,6124.4,2
2024-01-15,西区,传统,主力系列,西区经销商01,111989.06,36
2024-01-15,西区,传统,主力系列,西区经销商02,37329.69,12
2024-01-15,西区,传统,主力系列,西区经销商03,23331.05,7
2024-01-15,西区,传统,主力系列,西区经销商04,18664.84,6
2024-01-15,西区,传统,主力系列,西区经销商05,13998.63,4
2024-01-15,西区,传统,主力系列,西区经销商06,11665.53,4
2024-01-15,西区,传统,主力系列,西区经销商07,9332.42,3
2024-01-15,西区,传统,主力系列,西区经销商08,6999.32,2
2024-01-15,西区,KA,入门系列,西区经销商01,87491.45,47
2024-01-15,西区,KA,入门系列,西区经销商02,29163.82,16
2024-01-15,西区,KA,入门系列,西区经销商03,18227.39,10
2024-01-15,西区,KA,入门系列,西区经销商04,14581.91,8
2024-01-15,西区,KA,入门系列,西区经销商05,10936.43,6
2024-01-15,西区,KA,入门系列,西区经销商06,9113.69,5
2024-01-15,西区,KA,入门系列,西区经销商07,7290.95,4
2024-01-15,西区,KA,入门系列,西区经销商08,5468.22,3
2024-01-15,西区,电商,入门系列,西区经销商01,61244.02,33
2024-01-15,西区,电商,入门系列,西区经销商02,20414.67,11
2024-01-15,西区,电商,入门系列,西区经销商03,12759.17,7
2024-01-15,西区,电商,入门系列,西区经销商04,10207.34,5
2024-01-15,西区,电商,入门系列,西区经销商05,7655.5,4
2024-01-15,西区,电商,入门系列,西区经销商06,6379.59,3
2024-01-15,西区,电商,入门系列,西区经销商07,5103.67,3
2024-01-15,西区,电商,入门系列,西区经销商08,3827.75,2
2024-01-15,西区,传统,入门系列,西区经销商01,69993.16,37
2024-01-15,西区,传统,入门系列,西区经销商02,23331.05,12
2024-01-15,西区,传统,入门系列,西区经销商03,14581.91,8
2024-01-15,西区,传统,入门系列,西区经销商04,11665.53,6
2024-01-15,西区,传统,入门系列,西区经销商05,8749.15,5
2024-01-15,西区,传统,入门系列,西区经销商06,7290.95,4
2024-01-15,西区,传统,入门系列,西区经销商07,5832.76,3
2024-01-15,西区,传统,入门系列,西区经销商08,4374.57,2
2024-01-15,中区,KA,旗舰系列,中区经销商01,48120.3,9
2024-01-15,中区,KA,旗舰系列,中区经销商02,16040.1,3
2024-01-15,中区,KA,旗舰系列,中区经销商03,10025.06,2
2024-01-15,中区,KA,旗舰系列,中区经销商04,8020.05,2
2024-01-15,中区,KA,旗舰系列,中区经销商05,6015.04,1
2024-01-15,中区,KA,旗舰系列,中区经销商06,5012.53,1
2024-01-15,中区,KA,旗舰系列,中区经销商07,4010.02,1
2024-01-15,中区,KA,旗舰系列,中区经销商08,3007.52,1
2024-01-15,中区,电商,旗舰系列,中区经销商01,33684.21,7
2024-01-15,中区,电商,旗舰系列,中区经销商02,11228.07,2
2024-01-15,中区,电商,旗舰系列,中区经销商03,7017.54,1
2024-01-15,中区,电商,旗舰系列,中区经销商04,5614.03,1
2024-01-15,中区,电商,旗舰系列,中区经销商05,4210.53,1
2024-01-15,中区,电商,旗舰系列,中区经销商06,3508.77,1
2024-01-15,中区,电商,旗舰系列,中区经销商07,2807.02,1
2024-01-15,中区,电商,旗舰系列,中区经销商08,2105.26,0
2024-01-15,中区,传统,旗舰系列,中区经销商01,38496.24,8
2024-01-15,中区,传统,旗舰系列,中区经销商02,12832.08,3
2024-01-15,中区,传统,旗舰系列,中区经销商03,8020.05,2
2024-01-15,中区,传统,旗舰系列,中区经销商04,6416.04,1
2024-01-15,中区,传统,旗舰系列,中区经销商05,4812.03,1
2024-01-15,中区,传统,旗舰系列,中区经销商06,4010.02,1
2024-01-15,中区,传统,旗舰系列,中区经销商07,3208.02,1
2024-01-15,中区,传统,旗舰系列,中区经销商08,2406.01,0
2024-01-15,中区,KA,主力系列,中区经销商01,104989.74,33
2024-01-15,中区,KA,主力系列,中区经销商02,34996.58,11
2024-01-15,中区,KA,主力系列,中区经销商03,21872.86,7
2024-01-15,中区,KA,主力系列,中区经销商04,17498.29,6
2024-01-15,中区,KA,主力系列,中区经销商05,13123.72,4
2024-01-15,中区,KA,主力系列,中区经销商06,10936.43,3
2024-01-15,中区,KA,主力系列,中区经销商07,8749.15,3
2024-01-15,中区,KA,主力系列,中区经销商08,6561.86,2
2024-01-15,中区,电商,主力系列,中区经销商01,73492.82,23
2024-01-15,中区,电商,主力系列,中区经销商02,24497.61,8
2024-01-15,中区,电商,主力系列,中区经销商03,15311.0,5
2024-01-15,中区,电商,主力系列,中区经销商04,12248.8,4
2024-01-15,中区,电商,主力系列,中区经销商05,9186.6,3
2024-01-15,中区,电商,主力系列,中区经销商06,7655.5,2
2024-01-15,中区,电商,主力系列,中区经销商07,6124.4,2
2024-01-15,中区,电商,主力系列,中区经销商08,4593.3,1
2024-01-15,中区,传统,主力系列,中区经销商01,83991.79,27
2024-01-15,中区,传统,主力系列,中区经销商02,27997.26,9
2024-01-15,中区,传统,主力系列,中区经销商03,17498.29,6
2024-01-15,中区,传统,主力系列,中区经销商04,13998.63,4
2024-01-15,中区,传统,主力系列,中区经销商05,10498.97,3
2024-01-15,中区,传统,主力系列,中区经销商06,8749.15,3
2024-01-15,中区,传统,主力系列,中区经销商07,6999.32,2
2024-01-15,中区,传统,主力系列,中区经销商08,5249.49,2
2024-01-15,中区,KA,入门系列,中区经销商01,65618.59,35
2024-01-15,中区,KA,入门系列,中区经销商02,21872.86,12
2024-01-15,中区,KA,入门系列,中区经销商03,13670.54,7
2024-01-15,中区,KA,入门系列,中区经销商04,10936.43,6
2024-01-15,中区,KA,入门系列,中区经销商05,8202.32,4
2024-01-15,中区,KA,入门系列,中区经销商06,6835.27,4
2024-01-15,中区,KA,入门系列,中区经销商07,5468.22,3
2024-01-15,中区,KA,入门系列,中区经销商08,4101.16,2
2024-01-15,中区,电商,入门系列,中区经销商01,45933.01,24
2024-01-15,中区,电商,入门系列,中区经销商02,15311.0,8
2024-01-15,中区,电商,入门系列,中区经销商03,9569.38,5
2024-01-15,中区,电商,入门系列,中区经销商04,7655.5,4
2024-01-15,中区,电商,入门系列,中区经销商05,5741.63,3
2024-01-15,中区,电商,入门系列,中区经销商06,4784.69,3
2024-01-15,中区,电商,入门系列,中区经销商07,3827.75,2
2024-01-15,中区,电商,入门系列,中区经销商08,2870.81,2
2024-01-15,中区,传统,入门系列,中区经销商01,52494.87,28
2024-01-15,中区,传统,入门系列,中区经销商02,17498.29,9
2024-01-15,中区,传统,入门系列,中区经销商03,10936.43,6
2024-01-15,中区,传统,入门系列,中区经销商04,8749.15,5
2024-01-15,中区,传统,入门系列,中区经销商05,6561.86,3
2024-01-15,中区,传统,入门系列,中区经销商06,5468.22,3
2024-01-15,中区,传统,入门系列,中区经销商07,4374.57,2
2024-01-15,中区,传统,入门系列,中区经销商08,3280.93,2
2024-01-15,东区,KA,旗舰系列,东区经销商01,48120.3,9
2024-01-15,东区,KA,旗舰系列,东区经销商02,16040.1,3
2024-01-15,东区,KA,旗舰系列,东区经销商03,10025.06,2
2024-01-15,东区,KA,旗舰系列,东区经销商04,8020.05,2
2024-01-15,东区,KA,旗舰系列,东区经销商05,6015.04,1
2024-01-15,东区,KA,旗舰系列,东区经销商06,5012.53,1
2024-01-15,东区,KA,旗舰系列,东区经销商07,4010.02,1
2024-01-15,东区,KA,旗舰系列,东区经销商08,3007.52,1
2024-01-15,东区,电商,旗舰系列,东区经销商01,33684.21,7
2024-01-15,东区,电商,旗舰系列,东区经销商02,11228.07,2
2024-01-15,东区,电商,旗舰系列,东区经销商03,7017.54,1
2024-01-15,东区,电商,旗舰系列,东区经销商04,5614.03,1
2024-01-15,东区,电商,旗舰系列,东区经销商05,4210.53,1
2024-01-15,东区,电商,旗舰系列,东区经销商06,3508.77,1
2024-01-15,东区,电商,旗舰系列,东区经销商07,2807.02,1
2024-01-15,东区,电商,旗舰系列,东区经销商08,2105.26,0
2024-01-15,东区,传统,旗舰系列,东区经销商01,38496.24,8
2024-01-15,东区,传统,旗舰系列,东区经销商02,12832.08,3
2024-01-15,东区,传统,旗舰系列,东区经销商03,8020.05,2
2024-01-15,东区,传统,旗舰系列,东区经销商04,6416.04,1
2024-01-15,东区,传统,旗舰系列,东区经销商05,4812.03,1
2024-01-15,东区,传统,旗舰系列,东区经销商06,4010.02,1
2024-01-15,东区,传统,旗舰系列,东区经销商07,3208.02,1
2024-01-15,东区,传统,旗舰系列,东区经销商08,2406.01,0
2024-01-15,东区,KA,主力系列,东区经销商01,104989.74,33
2024-01-15,东区,KA,主力系列,东区经销商02,34996.58,11
2024-01-15,东区,KA,主力系列,东区经销商03,21872.86,7
2024-01-15,东区,KA,主力系列,东区经销商04,17498.29,6
2024-01-15,东区,KA,主力系列,东区经销商05,13123.72,4
2024-01-15,东区,KA,主力系列,东区经销商06,10936.43,3
2024-01-15,东区,KA,主力系列,东区经销商07,8749.15,3
2024-01-15,东区,KA,主力系列,东区经销商08,6561.86,2
2024-01-15,东区,电商,主力系列,东区经销商01,73492.82,23
2024-01-15,东区,电商,主力系列,东区经销商02,24497.61,8
2024-01-15,东区,电商,主力系列,东区经销商03,15311.0,5
2024-01-15,东区,电商,主力系列,东区经销商04,12248.8,4
2024-01-15,东区,电商,主力系列,东区经销商05,9186.6,3
2024-01-15,东区,电商,主力系列,东区经销商06,7655.5,2
2024-01-15,东区,电商,主力系列,东区经销商07,6124.4,2
2024-01-15,东区,电商,主力系列,东区经销商08,4593.3,1
2024-01-15,东区,传统,主力系列,东区经销商01,83991.79,27
2024-01-15,东区,传统,主力系列,东区经销商02,27997.26,9
2024-01-15,东区,传统,主力系列,东区经销商03,17498.29,6
2024-01-15,东区,传统,主力系列,东区经销商04,13998.63,4
2024-01-15,东区,传统,主力系列,东区经销商05,10498.97,3
2024-01-15,东区,传统,主力系列,东区经销商06,8749.15,3
2024-01-15,东区,传统,主力系列,东区经销商07,6999.32,2
2024-01-15,东区,传统,主力系列,东区经销商08,5249.49,2
2024-01-15,东区,KA,入门系列,东区经销商01,65618.59,35
2024-01-15,东区,KA,入门系列,东区经销商02,21872.86,12
2024-01-15,东区,KA,入门系列,东区经销商03,13670.54,7
2024-01-15,东区,KA,入门系列,东区经销商04,10936.43,6
2024-01-15,东区,KA,入门系列,东区经销商05,8202.32,4
2024-01-15,东区,KA,入门系列,东区经销商06,6835.27,4
2024-01-15,东区,KA,入门系列,东区经销商07,5468.22,3
2024-01-15,东区,KA,入门系列,东区经销商08,4101.16,2
2024-01-15,东区,电商,入门系列,东区经销商01,45933.01,24
2024-01-15,东区,电商,入门系列,东区经销商02,15311.0,8
2024-01-15,东区,电商,入门系列,东区经销商03,9569.38,5
2024-01-15,东区,电商,入门系列,东区经销商04,7655.5,4
2024-01-15,东区,电商,入门系列,东区经销商05,5741.63,3
2024-01-15,东区,电商,入门系列,东区经销商06,4784.69,3
2024-01-15,东区,电商,入门系列,东区经销商07,3827.75,2
2024-01-15,东区,电商,入门系列,东区经销商08,2870.81,2
2024-01-15,东区,传统,入门系列,东区经销商01,52494.87,28
2024-01-15,东区,传统,入门系列,东区经销商02,17498.29,9
2024-01-15,东区,传统,入门系列,东区经销商03,10936.43,6
2024-01-15,东区,传统,入门系列,东区经销商04,8749.15,5
2024-01-15,东区,传统,入门系列,东区经销商05,6561.86,3
2024-01-15,东区,传统,入门系列,东区经销商06,5468.22,3
2024-01-15,东区,传统,入门系列,东区经销商07,4374.57,2
2024-01-15,东区,传统,入门系列,东区经销商08,3280.93,2
2024-01-15,南区,KA,旗舰系列,南区经销商01,80200.5,16
2024-01-15,南区,KA,旗舰系列,南区经销商02,26733.5,5
2024-01-15,南区,KA,旗舰系列,南区经销商03,16708.44,3
2024-01-15,南区,KA,旗舰系列,南区经销商04,13366.75,3
2024-01-15,南区,KA,旗舰系列,南区经销商05,10025.06,2
2024-01-15,南区,KA,旗舰系列,南区经销商06,8354.22,2
2024-01-15,南区,KA,旗舰系列,南区经销商07,6683.37,1
2024-01-15,南区,KA,旗舰系列,南区经销商08,5012.53,1
2024-01-15,南区,电商,旗舰系列,南区经销商01,56140.35,11
2024-01-15,南区,电商,旗舰系列,南区经销商02,18713.45,4
2024-01-15,南区,电商,旗舰系列,南区经销商03,11695.91,2
2024-01-15,南区,电商,旗舰系列,南区经销商04,9356.72,2
2024-01-15,南区,电商,旗舰系列,南区经销商05,7017.54,1
2024-01-15,南区,电商,旗舰系列,南区经销商06,5847.95,1
2024-01-15,南区,电商,旗舰系列,南区经销商07,4678.36,1
2024-01-15,南区,电商,旗舰系列,南区经销商08,3508.77,1
2024-01-15,南区,传统,旗舰系列,南区经销商01,64160.4,13
2024-01-15,南区,传统,旗舰系列,南区经销商02,21386.8,4
2024-01-15,南区,传统,旗舰系列,南区经销商03,13366.75,3
2024-01-15,南区,传统,旗舰系列,南区经销商04,10693.4,2
2024-01-15,南区,传统,旗舰系列,南区经销商05,8020.05,2
2024-01-15,南区,传统,旗舰系列,南区经销商06,6683.37,1
2024-01-15,南区,传统,旗舰系列,南区经销商07,5346.7,1
2024-01-15,南区,传统,旗舰系列,南区经销商08,4010.02,1
2024-01-15,南区,KA,主力系列,南区经销商01,174982.9,56
2024-01-15,南区,KA,主力系列,南区经销商02,58327.63,19
2024-01-15,南区,KA,主力系列,南区经销商03,36454.77,12
2024-01-15,南区,KA,主力系列,南区经销商04,29163.82,9
2024-01-15,南区,KA,主力系列,南区经销商05,21872.86,7
2024-01-15,南区,KA,主力系列,南区经销商06,18227.39,6
2024-01-15,南区,KA,主力系列,南区经销商07,14581.91,5
2024-01-15,南区,KA,主力系列,南区经销商08,10936.43,3
2024-01-15,南区,电商,主力系列,南区经销商01,122488.03,39
2024-01-15,南区,电商,主力系列,南区经销商02,40829.34,13
2024-01-15,南区,电商,主力系列,南区经销商03,25518.34,8
2024-01-15,南区,电商,主力系列,南区经销商04,20414.67,6
2024-01-15,南区,电商,主力系列,南区经销商05,15311.0,5
2024-01-15,南区,电商,主力系列,南区经销商06,12759.17,4
2024-01-15,南区,电商,主力系列,南区经销商07,10207.34,3
2024-01-15,南区,电商,主力系列,南区经销商08,7655.5,2
2024-01-15,南区,传统,主力系列,南区经销商01,139986.32,44
2024-01-15,南区,传统,主力系列,南区经销商02,46662.11,15
2024-01-15,南区,传统,主力系列,南区经销商03,29163.82,9
2024-01-15,南区,传统,主力系列,南区经销商04,23331.05,7
2024-01-15,南区,传统,主力系列,南区经销商05,17498.29,6
2024-01-15,南区,传统,主力系列,南区经销商06,14581.91,5
2024-01-15,南区,传统,主力系列,南区经销商07,11665.53,4
2024-01-15,南区,传统,主力系列,南区经销商08,8749.15,3
2024-01-15,南区,KA,入门系列,南区经销商01,109364.32,58
2024-01-15,南区,KA,入门系列,南区经销商02,36454.77,19
2024-01-15,南区,KA,入门系列,南区经销商03,22784.23,12
2024-01-15,南区,KA,入门系列,南区经销商04,18227.39,10
2024-01-15,南区,KA,入门系列,南区经销商05,13670.54,7
2024-01-15,南区,KA,入门系列,南区经销商06,11392.12,6
2024-01-15,南区,KA,入门系列,南区经销商07,9113.69,5
2024-01-15,南区,KA,入门系列,南区经销商08,6835.27,4
2024-01-15,南区,电商,入门系列,南区经销商01,76555.02,41
2024-01-15,南区,电商,入门系列,南区经销商02,25518.34,14
2024-01-15,南区,电商,入门系列,南区经销商03,15948.96,8
2024-01-15,南区,电商,入门系列,南区经销商04,12759.17,7
2024-01-15,南区,电商,入门系列,南区经销商05,9569.38,5
2024-01-15,南区,电商,入门系列,南区经销商06,7974.48,4
2024-01-15,南区,电商,入门系列,南区经销商07,6379.59,3
2024-01-15,南区,电商,入门系列,南区经销商08,4784.69,3
2024-01-15,南区,传统,入门系列,南区经销商01,87491.45,47
2024-01-15,南区,传统,入门系列,南区经销商02,29163.82,16
2024-01-15,南区,传统,入门系列,南区经销商03,18227.39,10
2024-01-15,南区,传统,入门系列,南区经销商04,14581.91,8
2024-01-15,南区,传统,入门系列,南区经销商05,10936.43,6
2024-01-15,南区,传统,入门系列,南区经销商06,9113.69,5
2024-01-15,南区,传统,入门系列,南区经销商07,7290.95,4
2024-01-15,南区,传统,入门系列,南区经销商08,5468.22,3
2024-02-15,北区,KA,旗舰系列,北区经销商01,88704.0,17
2024-02-15,北区,KA,旗舰系列,北区经销商02,29568.0,6
2024-02-15,北区,KA,旗舰系列,北区经销商03,18480.0,4
2024-02-15,北区,KA,旗舰系列,北区经销商04,14784.0,3
2024-02-15,北区,KA,旗舰系列,北区经销商05,11088.0,2
2024-02-15,北区,KA,旗舰系列,北区经销商06,9240.0,2
2024-02-15,北区,KA,旗舰系列,北区经销商07,7392.0,1
2024-02-15,北区,KA,旗舰系列,北区经销商08,5544.0,1
2024-02-15,北区,电商,旗舰系列,北区经销商01,62092.8,12
2024-02-15,北区,电商,旗舰系列,北区经销商02,20697.6,4
2024-02-15,北区,电商,旗舰系列,北区经销商03,12936.0,3
2024-02-15,北区,电商,旗舰系列,北区经销商04,10348.8,2
2024-02-15,北区,电商,旗舰系列,北区经销商05,7761.6,2
2024-02-15,北区,电商,旗舰系列,北区经销商06,6468.0,1
2024-02-15,北区,电商,旗舰系列,北区经销商07,5174.4,1
2024-02-15,北区,电商,旗舰系列,北区经销商08,3880.8,1
2024-02-15,北区,传统,旗舰系列,北区经销商01,70963.2,14
2024-02-15,北区,传统,旗舰系列,北区经销商02,23654.4,5
2024-02-15,北区,传统,旗舰系列,北区经销商03,14784.0,3
2024-02-15,北区,传统,旗舰系列,北区经销商04,11827.2,2
2024-02-15,北区,传统,旗舰系列,北区经销商05,8870.4,2
2024-02-15,北区,传统,旗舰系列,北区经销商06,7392.0,1
2024-02-15,北区,传统,旗舰系列,北区经销商07,5913.6,1
2024-02-15,北区,传统,旗舰系列,北区经销商08,4435.2,1
2024-02-15,北区,KA,主力系列,北区经销商01,193536.0,61
2024-02-15,北区,KA,主力系列,北区经销商02,64512.0,20
2024-02-15,北区,KA,主力系列,北区经销商03,40320.0,13
2024-02-15,北区,KA,主力系列,北区经销商04,32256.0,10
2024-02-15,北区,KA,主力系列,北区经销商05,24192.0,8
2024-02-15,北区,KA,主力系列,北区经销商06,20160.0,6
2024-02-15,北区,KA,主力系列,北区经销商07,16128.0,5
2024-02-15,北区,KA,主力系列,北区经销商08,12096.0,4
2024-02-15,北区,电商,主力系列,北区经销商01,135475.2,43
2024-02-15,北区,电商,主力系列,北区经销商02,45158.4,14
2024-02-15,北区,电商,主力系列,北区经销商03,28224.0,9
2024-02-15,北区,电商,主力系列,北区经销商04,22579.2,7
2024-02-15,北区,电商,主力系列,北区经销商05,16934.4,5
2024-02-15,北区,电商,主力系列,北区经销商06,14112.0,4
2024-02-15,北区,电商,主力系列,北区经销商07,11289.6,4
2024-02-15,北区,电商,主力系列,北区经销商08,8467.2,3
2024-02-15,北区,传统,主力系列,北区经销商01,154828.8,49
2024-02-15,北区,传统,主力系列,北区经销商02,51609.6,16
2024-02-15,北区,传统,主力系列,北区经销商03,32256.0,10
2024-02-15,北区,传统,主力系列,北区经销商04,25804.8,8
2024-02-15,北区,传统,主力系列,北区经销商05,19353.6,6
2024-02-15,北区,传统,主力系列,北区经销商06,16128.0,5
2024-02-15,北区,传统,主力系列,北区经销商07,12902.4,4
2024-02-15,北区,传统,主力系列,北区经销商08,9676.8,3
2024-02-15,北区,KA,入门系列,北区经销商01,120960.0,64
2024-02-15,北区,KA,入门系列,北区经销商02,40320.0,21
2024-02-15,北区,KA,入门系列,北区经销商03,25200.0,13
2024-02-15,北区,KA,入门系列,北区经销商04,20160.0,11
2024-02-15,北区,KA,入门系列,北区经销商05,15120.0,8
2024-02-15,北区,KA,入门系列,北区经销商06,12600.0,7
2024-02-15,北区,KA,入门系列,北区经销商07,10080.0,5
2024-02-15,北区,KA,入门系列,北区经销商08,7560.0,4
2024-02-15,北区,电商,入门系列,北区经销商01,84672.0,45
2024-02-15,北区,电商,入门系列,北区经销商02,28224.0,15
2024-02-15,北区,电商,入门系列,北区经销商03,17640.0,9
2024-02-15,北区,电商,入门系列,北区经销商04,14112.0,8
2024-02-15,北区,电商,入门系列,北区经销商05,10584.0,6
2024-02-15,北区,电商,入门系列,北区经销商06,8820.0,5
2024-02-15,北区,电商,入门系列,北区经销商07,7056.0,4
2024-02-15,北区,电商,入门系列,北区经销商08,5292.0,3
2024-02-15,北区,传统,入门系列,北区经销商01,96768.0,51
2024-02-15,北区,传统,入门系列,北区经销商02,32256.0,17
2024-02-15,北区,传统,入门系列,北区经销商03,20160.0,11
