日期,战区,渠道,型号,客户,签收金额,数量
2024-01-24,东莞,B2B,KFR-35GW,客户05,20053,8
2024-01-18,东莞,B2B,KF-35GW,客户10,36715,18
2024-01-22,东莞,B2B,KFR-26GW,客户08,35152,17
2024-01-10,东莞,B2B,KF-26GW,客户02,23217,14
2024-01-15,东莞,O2O,KFR-50GW,客户12,6400,2
2024-01-24,东莞,O2O,KFR-50GW,客户16,6289,2
2024-01-03,东莞,O2O,KFR-32GW,客户01,4087,2
2024-01-02,南宁,传统,KF-26GW,客户16,2121,1
2024-01-15,南宁,传统,KFR-32GW,客户09,2504,1
2024-01-13,南宁,传统,KFR-50GW,客户14,3327,1
2024-01-29,南宁,传统,KFR-32GW,客户15,2448,1
2024-01-26,南宁,传统,KF-26GW,客户20,2113,1
2024-01-18,南宁,传统,KF-35GW,客户10,2382,1
2024-01-20,南宁,KA,KF-32GW,客户09,9987,5
2024-01-20,南宁,KA,KFR-35GW,客户19,11309,5
2024-01-29,南宁,KA,KF-32GW,客户25,11109,5
2024-01-09,南宁,KA,KFR-32GW,客户24,11344,5
2024-01-21,南宁,KA,KF-26GW,客户23,7887,4
2024-01-08,南宁,KA,KFR-32GW,客户08,9024,4
2024-01-13,南宁,KA,KFR-35GW,客户05,15972,6
2024-01-11,南宁,B2B,KF-26GW,客户01,32849,18
2024-01-25,南宁,B2B,KFR-50LW,客户07,34492,11
2024-01-16,南宁,B2B,KFR-72LW,客户17,57099,17
2024-01-26,南宁,O2O,KFR-35GW,客户19,4637,2
2024-01-09,南宁,O2O,KFR-72LW,客户03,3633,1
2024-01-27,长沙,传统,KFR-26GW,客户05,6934,3
2024-01-18,长沙,传统,KFR-50GW,客户02,9308,3
2024-01-14,长沙,传统,KFR-26GW,客户07,6699,3
2024-01-09,长沙,传统,KFR-26GW,客户09,2217,1
2024-01-14,长沙,KA,KFR-32GW,客户05,11744,5
2024-01-24,长沙,KA,KFR-32GW,客户01,5383,2
2024-01-31,长沙,KA,KFR-50LW,客户30,13369,4
2024-01-07,长沙,KA,KFR-100LW,客户19,12877,3
2024-01-07,长沙,B2B,KFR-72LW,客户04,68008,20
2024-01-06,长沙,B2B,KFR-50GW,客户04,43483,16
2024-01-01,长沙,O2O,KF-50GW,客户17,2819,1
2024-02-13,深圳,传统,KFR-72LW,客户26,8187,2
2024-02-04,深圳,传统,KF-35GW,客户03,7248,3
2024-02-20,深圳,传统,KF-26GW,客户05,5917,3
2024-02-14,深圳,传统,KF-32GW,客户21,7029,3
2024-02-11,深圳,传统,KFR-120LW,客户01,13600,3
2024-02-21,深圳,传统,KFR-26GW,客户08,4992,2
2024-02-14,深圳,传统,KF-35GW,客户09,2674,1
2024-02-18,深圳,传统,KFR-32GW,客户10,7666,3
2024-02-19,深圳,传统,KF-26GW,客户09,6901,3
2024-02-25,深圳,传统,KFR-32GW,客户23,2559,1
2024-02-11,深圳,传统,KFR-50GW,客户13,7116,2
2024-02-09,深圳,传统,KFR-26GW,客户23,2163,1
2024-02-18,深圳,KA,KF-32GW,客户17,8698,4
2024-02-18,深圳,KA,KFR-26GW,客户28,4246,2
2024-02-15,深圳,KA,KF-26GW,客户16,10350,5
2024-02-22,深圳,KA,KF-26GW,客户01,5727,3
2024-02-12,深圳,KA,KFR-72LW,客户09,23530,6
2024-02-10,深圳,KA,KFR-50GW,客户19,12191,4
2024-02-11,深圳,KA,KFR-32GW,客户02,7557,3
2024-02-09,深圳,KA,KFR-26GW,客户11,6539,3
2024-02-20,深圳,KA,KF-26GW,客户29,12721,6
2024-02-10,深圳,KA,KFR-35GW,客户01,7723,3
2024-02-02,深圳,KA,KFR-26GW,客户11,8853,4
2024-02-04,深圳,KA,KF-50GW,客户11,8104,3
2024-02-16,深圳,KA,KF-32GW,客户12,10143,5
2024-02-16,深圳,B2B,KFR-32GW,客户01,44929,20
2024-02-05,深圳,B2B,KFR-26GW,客户14,11807,6
2024-02-18,深圳,B2B,KFR-32GW,客户12,32028,14
2024-02-25,深圳,B2B,KF-26GW,客户13,22123,12
2024-02-14,深圳,B2B,KFR-50LW,客户08,57282,19
2024-02-25,深圳,B2B,KFR-35GW,客户14,20394,8
2024-02-03,深圳,B2B,KFR-32GW,客户03,15774,7
2024-02-10,深圳,O2O,KFR-50GW,客户16,6267,2
2024-02-22,深圳,O2O,KFR-26GW,客户04,4039,2
2024-02-14,深圳,O2O,KFR-32GW,客户04,2216,1
2024-02-03,深圳,O2O,KFR-26GW,客户03,2214,1
2024-02-10,广州,传统,KF-26GW,客户13,6008,3
2024-02-17,广州,传统,KFR-50GW,客户09,6502,2
2024-02-02,广州,传统,KFR-50LW,客户08,9539,3
2024-02-22,广州,传统,KF-32GW,客户18,6963,3
2024-02-25,广州,传统,KF-32GW,客户12,2372,1
2024-02-17,广州,传统,KFR-120LW,客户04,4760,1
2024-02-19,广州,传统,KFR-100LW,客户26,4397,1
2024-02-11,广州,传统,KFR-50GW,客户21,3206,1
2024-02-14,广州,传统,KFR-120LW,客户23,9587,2
2024-02-15,广州,传统,KF-26GW,客户04,4324,2
2024-02-25,广州,传统,KFR-26GW,客户04,2136,1
2024-02-17,广州,KA,KFR-50LW,客户30,19763,6
2024-02-25,广州,KA,KFR-35GW,客户19,13100,5
2024-02-23,广州,KA,KFR-26GW,客户04,6658,3
2024-02-26,广州,KA,KFR-50GW,客户01,18462,6
2024-02-08,广州,KA,KFR-32GW,客户02,15215,6
2024-02-04,广州,KA,KF-50GW,客户26,14342,5
2024-02-27,广州,KA,KFR-100LW,客户02,16262,4
2024-02-18,广州,KA,KFR-50GW,客户09,15721,5
2024-02-28,广州,KA,KFR-32GW,客户03,12990,6
2024-02-11,广州,KA,KFR-26GW,客户20,10530,5
2024-02-19,广州,KA,KF-35GW,客户10,4588,2
2024-02-18,广州,B2B,KFR-100LW,客户24,76933,19
2024-02-07,广州,B2B,KFR-50GW,客户05,47115,17
2024-02-08,广州,B2B,KF-50GW,客户04,45130,17
2024-02-26,广州,B2B,KF-32GW,客户07,29767,15
2024-02-16,广州,B2B,KFR-35GW,客户30,19885,9
2024-02-15,广州,B2B,KF-50GW,客户02,42077,15
2024-02-14,广州,O2O,KF-35GW,客户01,2077,1
2024-02-11,广州,O2O,KF-32GW,客户29,1828,1
2024-02-28,广州,O2O,KFR-72LW,客户07,3817,1
2024-02-16,东莞,传统,KFR-120LW,客户11,8802,2
2024-02-08,东莞,传统,KF-32GW,客户01,2148,1
2024-02-04,东莞,传统,KFR-100LW,客户26,4532,1
2024-02-15,东莞,传统,KF-26GW,客户17,1998,1
2024-02-10,东莞,传统,KFR-32GW,客户05,2806,1
2024-02-17,东莞,传统,KFR-35GW,客户08,2867,1
2024-02-28,东莞,传统,KFR-50GW,客户16,3409,1
2024-02-19,东莞,传统,KFR-35GW,客户16,5691,2
2024-02-29,东莞,传统,KFR-32GW,客户09,4799,2
2024-02-03,东莞,KA,KF-35GW,客户16,7072,3
2024-02-23,东莞,KA,KFR-50GW,客户06,18173,6
2024-02-13,东莞,KA,KFR-32GW,客户23,8120,3
2024-02-23,东莞,KA,KF-32GW,客户02,10195,5
2024-02-09,东莞,KA,KFR-35GW,客户29,12676,5
2024-02-27,东莞,KA,KFR-26GW,客户24,4531,2
2024-02-20,东莞,KA,KF-35GW,客户04,6637,3
2024-02-24,东莞,KA,KF-32GW,客户03,6145,3
2024-02-29,东莞,B2B,KF-26GW,客户02,13720,8
2024-02-05,东莞,B2B,KFR-72LW,客户01,70137,19
2024-02-06,东莞,B2B,KFR-26GW,客户05,35347,18
2024-02-27,东莞,B2B,KFR-32GW,客户20,31603,16
2024-02-26,东莞,B2B,KFR-32GW,客户26,43370,20
2024-02-08,东莞,O2O,KF-32GW,客户21,4313,2
2024-02-28,东莞,O2O,KF-32GW,客户18,4174,2
2024-02-15,东莞,O2O,KF-32GW,客户06,4460,2
2024-02-27,南宁,传统,KF-26GW,客户04,4243,2
2024-02-29,南宁,传统,KFR-100LW,客户06,13626,3
2024-02-08,南宁,传统,KF-35GW,客户05,7522,3
2024-02-14,南宁,传统,KFR-100LW,客户14,9398,2
2024-02-10,南宁,传统,KFR-26GW,客户01,2217,1
2024-02-15,南宁,传统,KF-50GW,客户02,3123,1
2024-02-14,南宁,KA,KF-35GW,客户17,13641,6
2024-02-20,南宁,KA,KFR-72LW,客户18,18180,5
2024-02-23,南宁,KA,KFR-50GW,客户28,5809,2
2024-02-22,南宁,KA,KFR-35GW,客户08,7939,3
2024-02-02,南宁,KA,KFR-35GW,客户26,10250,4
2024-02-03,南宁,KA,KFR-50GW,客户03,6860,2
2024-02-02,南宁,B2B,KFR-100LW,客户13,18873,5
2024-02-27,南宁,B2B,KF-26GW,客户04,16406,9
2024-02-27,南宁,B2B,KF-26GW,客户03,19240,11
2024-02-05,南宁,O2O,KFR-35GW,客户02,2468,1
2024-02-05,长沙,传统,KF-26GW,客户02,2409,1
2024-02-09,长沙,传统,KFR-26GW,客户20,2251,1
2024-02-04,长沙,传统,KFR-26GW,客户18,6773,3
2024-02-17,长沙,传统,KF-26GW,客户09,4119,2
2024-02-10,长沙,KA,KFR-72LW,客户18,22998,6
2024-02-14,长沙,KA,KFR-50GW,客户29,6913,2
2024-02-03,长沙,KA,KF-26GW,客户09,9839,5
2024-02-21,长沙,KA,KF-35GW,客户05,7198,3
2024-02-20,长沙,KA,KFR-72LW,客户17,19512,5
2024-02-21,长沙,B2B,KFR-50GW,客户13,23305,8
2024-02-14,长沙,B2B,KFR-100LW,客户19,41761,11
2024-02-11,长沙,O2O,KFR-32GW,客户06,4373,2
2024-03-22,深圳,传统,KFR-120LW,客户06,5000,1
2024-03-24,深圳,传统,KF-35GW,客户01,2538,1
2024-03-19,深圳,传统,KFR-35GW,客户02,2845,1
2024-03-22,深圳,传统,KF-35GW,客户12,7726,3
2024-03-02,深圳,传统,KF-35GW,客户08,7717,3
2024-03-05,深圳,传统,KF-50GW,客户13,6441,2
2024-03-12,深圳,传统,KFR-100LW,客户03,4723,1
2024-03-28,深圳,传统,KF-32GW,客户06,4287,2
2024-03-20,深圳,传统,KFR-50LW,客户19,10374,3
2024-03-09,深圳,传统,KFR-120LW,客户12,15528,3
2024-03-30,深圳,传统,KFR-26GW,客户04,4374,2
2024-03-05,深圳,传统,KFR-35GW,客户01,2680,1
2024-03-24,深圳,传统,KF-26GW,客户29,2077,1
2024-03-25,深圳,KA,KFR-35GW,客户08,7436,3
2024-03-05,深圳,KA,KF-35GW,客户13,4922,2
2024-03-16,深圳,KA,KFR-32GW,客户14,4799,2
2024-03-25,深圳,KA,KFR-72LW,客户07,12422,3
2024-03-16,深圳,KA,KFR-50LW,客户06,6624,2
2024-03-13,深圳,KA,KFR-50LW,客户05,10837,3
2024-03-05,深圳,KA,KF-50GW,客户01,8515,3
2024-03-01,深圳,KA,KF-26GW,客户04,4088,2
2024-03-17,深圳,KA,KFR-50LW,客户08,9519,3
2024-03-03,深圳,KA,KFR-50LW,客户15,14176,4
2024-03-28,深圳,KA,KFR-50GW,客户18,17605,5
2024-03-23,深圳,KA,KFR-35GW,客户08,13285,5
2024-03-26,深圳,KA,KFR-100LW,客户04,22210,5
2024-03-03,深圳,B2B,KFR-50GW,客户16,46799,16
2024-03-13,深圳,B2B,KFR-50GW,客户02,49641,18
2024-03-11,深圳,B2B,KF-32GW,客户19,23217,12
2024-03-25,深圳,B2B,KF-26GW,客户01,14072,8
2024-03-08,深圳,B2B,KFR-35GW,客户18,21538,9
2024-03-21,深圳,B2B,KFR-26GW,客户04,18218,10
2024-03-15,深圳,B2B,KFR-26GW,客户28,37097,20
2024-03-05,深圳,O2O,KF-26GW,客户08,4014,2
2024-03-26,深圳,O2O,KFR-50GW,客户09,5815,2
2024-03-02,深圳,O2O,KFR-35GW,客户01,2490,1
2024-03-20,广州,传统,KFR-35GW,客户15,2953,1
2024-03-29,广州,传统,KFR-72LW,客户07,11369,3
2024-03-21,广州,传统,KFR-26GW,客户26,6636,3
2024-03-04,广州,传统,KFR-32GW,客户13,7874,3
2024-03-03,广州,传统,KF-32GW,客户22,7099,3
2024-03-17,广州,传统,KFR-50LW,客户02,3459,1
2024-03-30,广州,传统,KFR-50LW,客户02,6142,2
2024-03-21,广州,传统,KFR-35GW,客户07,5579,2
2024-03-18,广州,传统,KFR-100LW,客户01,4492,1
2024-03-20,广州,传统,KFR-120LW,客户04,15415,3
2024-03-22,广州,传统,KF-32GW,客户05,6272,3
2024-03-03,广州,KA,KFR-35GW,客户29,13822,5
2024-03-27,广州,KA,KFR-35GW,客户06,11086,4
2024-03-17,广州,KA,KFR-26GW,客户17,13557,6
2024-03-31,广州,KA,KFR-35GW,客户06,8192,3
2024-03-05,广州,KA,KFR-32GW,客户28,13120,5
2024-03-17,广州,KA,KFR-26GW,客户23,4893,2
2024-03-25,广州,KA,KF-26GW,客户22,12398,6
2024-03-06,广州,KA,KFR-72LW,客户13,11701,3
2024-03-15,广州,KA,KFR-32GW,客户16,14705,6
2024-03-15,广州,KA,KFR-26GW,客户06,6204,3
2024-03-31,广州,KA,KFR-72LW,客户19,19368,5
2024-03-22,广州,B2B,KFR-50GW,客户22,48241,16
2024-03-17,广州,B2B,KF-35GW,客户30,41006,19
2024-03-26,广州,B2B,KFR-50LW,客户29,31061,11
2024-03-18,广州,B2B,KFR-72LW,客户24,19898,6
2024-03-10,广州,B2B,KF-35GW,客户17,15737,8
2024-03-14,广州,B2B,KFR-26GW,客户02,37992,19
2024-03-30,广州,O2O,KF-35GW,客户22,4437,2
2024-03-12,广州,O2O,KFR-26GW,客户01,4184,2
2024-03-27,广州,O2O,KFR-32GW,客户05,2703,1
2024-03-23,东莞,传统,KFR-35GW,客户02,2749,1
2024-03-15,东莞,传统,KF-32GW,客户19,5092,2
2024-03-18,东莞,传统,KFR-72LW,客户26,4120,1
2024-03-04,东莞,传统,KF-35GW,客户13,5456,2
2024-03-26,东莞,传统,KF-26GW,客户03,2226,1
2024-03-20,东莞,传统,KFR-72LW,客户01,8397,2
2024-03-14,东莞,传统,KFR-50LW,客户14,10830,3
2024-03-14,东莞,传统,KFR-26GW,客户06,7029,3
2024-03-17,东莞,KA,KFR-120LW,客户10,18804,4
2024-03-13,东莞,KA,KF-26GW,客户10,4058,2
2024-03-01,东莞,KA,KF-32GW,客户01,11299,5
2024-03-24,东莞,KA,KFR-35GW,客户01,7831,3
2024-03-02,东莞,KA,KFR-100LW,客户01,25424,6
2024-03-27,东莞,KA,KFR-35GW,客户06,7515,3
2024-03-03,东莞,KA,KF-26GW,客户09,9284,5
2024-03-10,东莞,KA,KF-26GW,客户28,3692,2
2024-03-13,东莞,KA,KFR-32GW,客户20,4765,2
2024-03-10,东莞,B2B,KFR-50LW,客户04,35330,11
2024-03-14,东莞,B2B,KFR-35GW,客户20,35654,15
2024-03-11,东莞,B2B,KF-32GW,客户18,37002,17
2024-03-09,东莞,B2B,KF-50GW,客户10,49544,20
2024-03-18,东莞,O2O,KF-26GW,客户01,2045,1
2024-03-20,东莞,O2O,KFR-35GW,客户01,4969,2
2024-03-02,南宁,传统,KFR-32GW,客户08,5007,2
2024-03-26,南宁,传统,KF-26GW,客户26,6616,3
2024-03-13,南宁,传统,KF-35GW,客户01,7471,3
2024-03-28,南宁,传统,KFR-35GW,客户21,8486,3
2024-03-05,南宁,传统,KFR-72LW,客户20,4179,1
2024-03-02,南宁,传统,KFR-26GW,客户20,4198,2
2024-03-15,南宁,KA,KFR-120LW,客户28,19470,4
2024-03-09,南宁,KA,KF-26GW,客户12,11529,6
2024-03-16,南宁,KA,KFR-32GW,客户02,7508,3
2024-03-15,南宁,KA,KFR-50LW,客户26,6710,2
2024-03-07,南宁,KA,KFR-32GW,客户13,12592,5
2024-03-03,南宁,KA,KFR-26GW,客户23,11031,5
2024-03-23,南宁,B2B,KF-50GW,客户30,45115,16
2024-03-30,南宁,B2B,KFR-26GW,客户11,28637,14
2024-03-17,南宁,B2B,KF-26GW,客户02,27237,16
2024-03-18,南宁,O2O,KF-50GW,客户20,2790,1
2024-03-20,南宁,O2O,KFR-72LW,客户09,3699,1
2024-03-25,长沙,传统,KFR-26GW,客户07,6757,3
2024-03-11,长沙,传统,KFR-50GW,客户12,3190,1
2024-03-27,长沙,传统,KFR-100LW,客户08,13321,3
2024-03-25,长沙,传统,KF-26GW,客户14,2114,1
2024-03-10,长沙,KA,KFR-50GW,客户26,6520,2
2024-03-12,长沙,KA,KFR-32GW,客户05,6890,3
2024-03-21,长沙,KA,KF-35GW,客户10,9502,4
2024-03-20,长沙,KA,KF-35GW,客户04,9011,4
2024-03-29,长沙,B2B,KFR-50LW,客户02,28733,9
2024-03-27,长沙,B2B,KFR-72LW,客户23,22575,6
2024-03-14,长沙,O2O,KFR-26GW,客户28,3920,2
2024-04-10,深圳,传统,KFR-26GW,客户25,6395,3
2024-04-10,深圳,传统,KFR-100LW,客户05,4699,1
2024-04-15,深圳,传统,KFR-50GW,客户16,3165,1
2024-04-23,深圳,传统,KFR-50GW,客户09,6587,2
2024-04-13,深圳,传统,KFR-35GW,客户30,5495,2
2024-04-04,深圳,传统,KFR-26GW,客户06,7073,3
2024-04-02,深圳,传统,KFR-32GW,客户04,2670,1
2024-04-29,深圳,传统,KFR-35GW,客户07,7524,3
2024-04-24,深圳,传统,KFR-32GW,客户05,8325,3
2024-04-29,深圳,传统,KFR-35GW,客户19,5963,2
2024-04-17,深圳,传统,KFR-35GW,客户01,5639,2
2024-04-16,深圳,传统,KFR-50GW,客户04,10129,3
2024-04-16,深圳,传统,KFR-72LW,客户23,12625,3
2024-04-25,深圳,KA,KFR-26GW,客户02,6796,3
2024-04-19,深圳,KA,KFR-50GW,客户01,6019,2
2024-04-25,深圳,KA,KFR-50LW,客户06,14241,4
2024-04-22,深圳,KA,KFR-50LW,客户22,20821,6
2024-04-11,深圳,KA,KFR-72LW,客户02,7214,2
2024-04-07,深圳,KA,KFR-50LW,客户06,10701,3
2024-04-11,深圳,KA,KFR-72LW,客户07,7958,2
2024-04-20,深圳,KA,KF-32GW,客户10,6613,3
2024-04-20,深圳,KA,KF-35GW,客户02,13728,6
2024-04-17,深圳,KA,KF-26GW,客户05,8316,4
2024-04-12,深圳,KA,KF-32GW,客户11,12754,6
2024-04-19,深圳,KA,KFR-35GW,客户02,14328,5
2024-04-21,深圳,KA,KFR-35GW,客户25,5100,2
2024-04-19,深圳,B2B,KF-26GW,客户12,10712,6
2024-04-02,深圳,B2B,KFR-50GW,客户11,51927,17
2024-04-01,深圳,B2B,KFR-72LW,客户17,41547,11
2024-04-25,深圳,B2B,KFR-50GW,客户07,51613,18
2024-04-23,深圳,B2B,KFR-72LW,客户09,20347,6
2024-04-13,深圳,B2B,KFR-26GW,客户03,31131,15
2024-04-18,深圳,B2B,KFR-35GW,客户02,36276,15
2024-04-08,深圳,O2O,KF-26GW,客户18,3759,2
2024-04-25,深圳,O2O,KFR-35GW,客户05,5002,2
2024-04-30,深圳,O2O,KFR-35GW,客户03,5012,2
2024-04-04,深圳,O2O,KF-35GW,客户18,4722,2
2024-04-26,广州,传统,KFR-50LW,客户25,7620,2
2024-04-03,广州,传统,KFR-32GW,客户01,6946,3
2024-04-27,广州,传统,KFR-35GW,客户08,5643,2
2024-04-09,广州,传统,KFR-50LW,客户27,10490,3
2024-04-29,广州,传统,KFR-26GW,客户14,6879,3
2024-04-04,广州,传统,KFR-50LW,客户14,3681,1
2024-04-18,广州,传统,KFR-50GW,客户17,3370,1
2024-04-30,广州,传统,KF-50GW,客户02,9040,3
2024-04-11,广州,传统,KF-32GW,客户09,7315,3
2024-04-21,广州,传统,KFR-35GW,客户01,3169,1
2024-04-29,广州,KA,KFR-50LW,客户18,6941,2
2024-04-27,广州,KA,KF-32GW,客户27,4305,2
2024-04-19,广州,KA,KFR-50GW,客户10,12790,4
2024-04-10,广州,KA,KFR-72LW,客户27,15438,4
2024-04-28,广州,KA,KFR-50GW,客户14,16839,6
2024-04-11,广州,KA,KFR-50LW,客户04,6792,2
2024-04-11,广州,KA,KFR-32GW,客户09,9729,4
2024-04-06,广州,KA,KF-26GW,客户12,5917,3
2024-04-03,广州,KA,KFR-72LW,客户14,19933,5
2024-04-16,广州,KA,KFR-50GW,客户01,9038,3
2024-04-11,广州,B2B,KFR-32GW,客户04,25849,12
2024-04-09,广州,B2B,KFR-35GW,客户18,12257,5
2024-04-06,广州,B2B,KFR-100LW,客户16,22910,6
2024-04-23,广州,B2B,KFR-50GW,客户10,38921,14
2024-04-05,广州,B2B,KFR-26GW,客户26,26834,14
2024-04-14,广州,B2B,KFR-50GW,客户08,47977,16
2024-04-20,广州,O2O,KF-35GW,客户19,2278,1
2024-04-17,广州,O2O,KF-32GW,客户01,3922,2
2024-04-17,广州,O2O,KF-26GW,客户01,2040,1
2024-04-15,东莞,传统,KFR-50LW,客户02,11126,3
2024-04-15,东莞,传统,KFR-26GW,客户03,6138,3
2024-04-14,东莞,传统,KF-32GW,客户08,7084,3
2024-04-01,东莞,传统,KFR-50GW,客户01,6682,2
2024-04-07,东莞,传统,KFR-50GW,客户22,9840,3
2024-04-02,东莞,传统,KFR-72LW,客户01,8151,2
2024-04-02,东莞,传统,KF-35GW,客户01,4710,2
2024-04-21,东莞,传统,KFR-35GW,客户03,2862,1
2024-04-15,东莞,传统,KF-50GW,客户06,5328,2
2024-04-04,东莞,KA,KF-35GW,客户06,14954,6
2024-04-05,东莞,KA,KFR-32GW,客户11,15693,6
2024-04-15,东莞,KA,KF-26GW,客户03,3999,2
2024-04-13,东莞,KA,KFR-120LW,客户11,23131,6
2024-04-29,东莞,KA,KF-32GW,客户04,8909,4
2024-04-20,东莞,KA,KF-26GW,客户02,10210,5
2024-04-20,东莞,KA,KF-26GW,客户25,3982,2
2024-04-08,东莞,KA,KFR-26GW,客户13,4355,2
2024-04-05,东莞,B2B,KFR-50GW,客户03,32221,11
2024-04-19,东莞,B2B,KFR-50LW,客户04,42547,15
2024-04-22,东莞,B2B,KFR-72LW,客户16,53871,15
2024-04-02,东莞,B2B,KFR-50LW,客户07,44476,13
2024-04-16,东莞,B2B,KFR-50LW,客户13,29897,10
2024-04-26,东莞,O2O,KFR-35GW,客户15,4917,2
2024-04-25,东莞,O2O,KFR-50LW,客户17,6743,2
2024-04-10,东莞,O2O,KFR-50LW,客户04,3406,1
2024-04-18,南宁,传统,KFR-32GW,客户09,2294,1
2024-04-07,南宁,传统,KFR-50LW,客户07,6882,2
2024-04-24,南宁,传统,KFR-35GW,客户01,5718,2
2024-04-22,南宁,传统,KF-32GW,客户01,4603,2
2024-04-24,南宁,传统,KFR-72LW,客户01,4288,1
2024-04-28,南宁,传统,KFR-120LW,客户03,5170,1
